530437404	achievement_description	Clear the first transmission	完成第一段传输
1230447589	achievement_name	Hydrogen Line	氢谱线
590360906	achievement_description	Complete Act 5	完成第五幕
1263662261	achievement_name	Act 5	第五幕
683989200	achievement_description	Complete Act 6	完成第六幕
107697523	achievement_name	Act 6	第六幕
1357630214	achievement_description	Complete Act 7	完成第七幕
2142871830	achievement_name	Act 7	第七幕
458054476	achievement_description	Reach Transmission 512	到达第 512 段传输
597123438	achievement_name	Quadruple Digits!!!!	四位数了！！！！
2144505575	achievement_description	Complete Act 8	完成第八幕
983001388	achievement_name	Act 8	第八幕
84275305	achievement_description	Complete Act 9	完成第九幕
1266183247	achievement_name	Act 9	第九幕
1910595638	achievement_description	Complete Act 10	完成第十幕
337798226	achievement_name	Act 10	第十幕
1066030122	achievement_description	Complete Act 11	完成第十一幕
1031579594	achievement_name	Act 11	第十一幕
2005421382	achievement_description	Complete Act 12	完成第十二幕
899404945	achievement_name	Act 12	第十二幕
1302333023	achievement_description	Clear Week 52	完成第 52 周
553744869	achievement_name	One Year	整整一年
219416062	achievement_description	Complete the first transmission group	完成第一个传输组
1544586780	achievement_name	Hello World!	Hello World！
1393899657	achievement_description	Complete the translation	完成翻译工作
2043981060	achievement_name	The Message from Deep Space	来自深空的讯息
2079388507	achievement_description	Meet the aliens	见到外星人
1790171215	achievement_name	Intergalactic Companions	星际伙伴
1945179814	achievement_description	Reopen the game to say goodbye	重新打开游戏，与大家道别
1599721911	achievement_name	One Last Goodbye	最后一次道别
2046607451	achievement_description	Add your first term to the dictionary	向词典添加第一个词
1568066198	achievement_name	Baby's First Words	宝宝开口了
1610284995	achievement_description	Add 8 terms to the dictionary	向词典添加 8 个词
2142064503	achievement_name	Octet	八位组
674416521	achievement_description	Add 16 terms to the dictionary	向词典添加 16 个词
574265685	achievement_name	Wordsmith	遣词高手
914381634	achievement_description	Add 64 terms to the dictionary	向词典添加 64 个词
1431916083	achievement_name	Lexicographer	词典编纂家
296969014	achievement_description	Name 100 dictionary entries	为 100 个词典条目命名
1146052502	achievement_name	Vocabularian	词汇达人
1450277429	achievement_description	Add 200 terms to the dictionary	向词典添加 200 个词
1212002553	achievement_name	Master of Language	语言大师
1239397848	achievement_description	Divide by 0… somehow	不知怎么的……除以了 0
1603169349	achievement_name	CRASH!	崩溃！
38122245	achievement_description	Complete the first week	完成第一周
1196371881	achievement_name	Week 1	第一周
1983876539	achievement_description	Screensaver lands perfectly in the corner	让屏保图案完美撞上角落
692691244	achievement_name	Satisfying	真舒坦
1924347855	achievement_description	Celebrate Alan’s Birthday (January 31)	庆祝艾伦的生日（1 月 31 日）
1001709443	achievement_description	Celebrate Bautista’s Birthday (October 2)	庆祝巴蒂斯塔的生日（10 月 2 日）
1790544396	achievement_description	Celebrate Collins’s Birthday (December 14)	庆祝柯林斯的生日（12 月 14 日）
1673329728	achievement_description	Celebrate Doppler’s Birthday (May 12)	庆祝多普勒的生日（5 月 12 日）
791591038	achievement_name	Golden Raygun	黄金射线枪
1798531183	achievement_description	Complete the 1st level of Shape Run	完成图形跑酷第一关
1987361747	achievement_name	Stereo Madness	立体狂潮
1959666835	achievement_description	Complete the 2nd level of Shape Run	完成图形跑酷第二关
2076359130	achievement_name	Back on Track	重回正轨
1120416951	achievement_description	Complete the 3rd level of Shape Run	完成图形跑酷第三关
1794996672	achievement_name	Unleashed	势不可挡
910647032	achievement_description	Draw and run a glider pattern in CGoL	在生命游戏（CGoL）中绘制并运行滑翔机图案
207846737	achievement_name	Tiny Spaceship	小小飞船
1120705932	achievement_description	Reach transmission 64	到达第 64 段传输
1286547760	achievement_name	Triple Digits??	三位数？？
973858226	achievement_description	Complete Act 1	完成第一幕
1769274635	achievement_name	Act 1	第一幕
216112388	achievement_description	Reach Transmission 100	到达第 100 段传输
1899695708	achievement_name	Triple Digits!!!	三位数！！！
1001020414	achievement_description	Win the employee of the week trophy	赢得本周最佳员工奖杯
2041849662	achievement_name	Employee of the Week	本周最佳员工
658962308	achievement_description	Complete Act 2	完成第二幕
1054792523	achievement_name	Act 2	第二幕
459164097	achievement_description	Complete Act 3	完成第三幕
717075823	achievement_name	Act 3	第三幕
1643741611	achievement_description	Complete Act 4	完成第四幕
980725735	achievement_name	Act 4	第四幕
1828827164	ui_fragment	Abundance: 	丰度：
1187036794	ui_fragment	Abundance: trace	丰度：微量
535937796	ui_fragment	 | Element 	 | 元素 
262183663	ui_fragment	Half-Life: 	半衰期：
1791353906	ui_fragment	Half-Life: Almost Instantaneous	半衰期：近乎瞬时
450307557	ui_fragment	Isotope: 	同位素：
1708816611	ui_fragment	Neutrons: 	中子：
1852409398	ui_fragment	Stable: no	稳定：否
1220546835	ui_fragment	Stable: yes	稳定：是
116804942	ui_template	Atomic Mass: {DYN_0}	原子质量：{DYN_0}
36068516	ui_template	Atomic Number: {DYN_0}	原子序数：{DYN_0}
1924396961	ui_template	<= 0 invalid logarithm	<= 0，对数无效
1232517043	ui_template	A too large (>{DYN_0})	A 过大（>{DYN_0}）
1065125854	ui_template	{DYN_0} already "{DYN_1}"	{DYN_0} 已命名为“{DYN_1}”
1980078840	ui_template	Failed to parse function	函数解析失败
1197536718	ui_template	Transmission: {DYN_0}, Time: {DYN_1}	传输：{DYN_0}，时间：{DYN_1}
1197106115	ui_template	{DYN_0} {DYN_1} is invalid 	{DYN_0} {DYN_1} 无效 
1393769582	ui_template	No {DYN_0} in {DYN_1} {DYN_2}	没有{DYN_0}：{DYN_1} {DYN_2}
2035820201	ui_template	NAME {DYN_0} IN DICTIONARY	在词典中命名 {DYN_0}
1556707603	ui_template	GROUP {DYN_0} - {DYN_1}	第 {DYN_0} 组 - {DYN_1}
1969024798	ui_template	Path: {DYN_0}	路径：{DYN_0}
2071171491	ui_template	Universal Abundance: {DYN_0}	宇宙丰度：{DYN_0}
643037645	ui_text	ACHIEVEMENTS	成就
257994715	ui_text	AUTOSAVING...	正在自动保存……
1354597142	ui_text	1-Input Funcs	单输入函数
998524590	ui_text	cos	cos
1064393028	ui_text	sin	sin
824994031	ui_text	tan	tan
875290730	ui_text	2-Input Funcs	双输入函数
993397617	ui_text	Base-8 Round	八进制舍入
1565754041	ui_text	Log	对数
813048314	ui_text	Round	舍入
161126940	ui_text	Filogram	Filogram
1374439509	ui_text	Filogram	Filogram
1553463229	ui_text	Filogram	Filogram
243076870	ui_text	Filogram	Filogram
1657925935	ui_text	Filogram	Filogram
404087058	ui_text	Filogram	Filogram
1998994866	ui_text	Filogram	Filogram
1250132379	ui_text	Filogram	Filogram
2086702022	ui_text	Filogram	Filogram
434441691	ui_text	Filogram	Filogram
943233538	ui_text	Filogram	Filogram
773826240	ui_text	Filogram	Filogram
1111349688	ui_text	Custom	自定义
1890721413	ui_text	Done	完成
1972487550	ui_text	Var	变量
1773991542	ui_text	Name: 	名称：
1490060713	ui_text	Edit Variable	编辑变量
1390281722	ui_text	Value:	值：
1293677666	ui_text	Output:	输出：
616643382	ui_text	(do not divide by 0)	（请勿除以 0）
704862098	ui_text	Select a Variable to Edit	选择要编辑的变量
892082402	ui_text	CALCULATOR	计算器
302526275	ui_text	Mission Time: 	任务时间：
690927982	ui_text	CALENDAR	日历
1631970813	ui_text	CONSOLE LOADER	控制台加载程序
